task_id,phase,title,gitkb_slug,depends_on,primary_artifact,validation_gate,status
CDB070,Phase 0,Evidence audit and drift repair,tasks/cdb070-bidirectional-phase-0-evidence-audit,CDB069,docs/BIDIRECTIONAL_ROADMAP.md,scripts/validate_bidirectional_package.py,complete
CDB071,Phase 1,Read-only foundation hardening,tasks/cdb071-bidirectional-phase-1-read-only-foundation,CDB070,docs/MUTATION_POLICY.md,read-only CLI/Nu/MCP tests,complete
CDB072,Phase 2,Lossless round-trip artifact generation,tasks/cdb072-bidirectional-phase-2-lossless-artifacts,CDB071,docs/ROUND_TRIP_PROOF.md,round-trip fixture tests,complete
CDB073,Phase 3,Change-plan graph without apply,tasks/cdb073-bidirectional-phase-3-change-plan-graph,CDB072,docs/CHANGE_PLAN_SCHEMA.md,change-plan schema tests,complete
CDB074,Phase 4,Patch generation into isolated worktrees,tasks/cdb074-bidirectional-phase-4-isolated-worktree-patches,CDB073,docs/ROUND_TRIP_PROOF.md,isolated worktree patch tests,complete
CDB075,Phase 5,Operator-approved apply gate,tasks/cdb075-bidirectional-phase-5-operator-approved-apply,CDB074,docs/MUTATION_POLICY.md,apply gate refusal and approval tests,complete
CDB076,Phase 6,Bidirectional sync semantics,tasks/cdb076-bidirectional-phase-6-sync-semantics,CDB075,docs/BIDIRECTIONAL_ARCHITECTURE.md,sync conflict and re-scan tests,complete
CDB077,Gap Closure,Macro expansion beyond static inventory,tasks/cdb077-bidirectional-macro-expansion-gap,CDB071,docs/GAP_CLOSURE_PLAN.md,"compiler-observed expansion, resolution, and hygiene fixture proof",complete
CDB078,Gap Closure,Proc-macro execution gate,tasks/cdb078-bidirectional-proc-macro-gate,CDB071,docs/GAP_CLOSURE_PLAN.md,default refusal plus approved proc-macro input/output/provenance proof,complete
CDB079,Gap Closure,Build-script execution gate,tasks/cdb079-bidirectional-build-script-gate,CDB071,docs/GAP_CLOSURE_PLAN.md,default refusal plus approved build-script environment/instruction/log proof,complete
CDB080,Gap Closure,Generated OUT_DIR artifact reproduction,tasks/cdb080-bidirectional-out-dir-reproduction,CDB079,docs/GAP_CLOSURE_PLAN.md,generated OUT_DIR artifact checksum and reproduction proof,complete
CDB081,Gap Closure,Symlink and platform materialization limits,tasks/cdb081-bidirectional-symlink-platform-materialization,CDB072,docs/GAP_CLOSURE_PLAN.md,platform materialization matrix tests,complete
CDB082,Gap Closure,Native and linker dynamic facts,tasks/cdb082-bidirectional-native-linker-facts,CDB079,docs/GAP_CLOSURE_PLAN.md,approved dynamic native/link fact and provenance proof,complete
CDB083,Gap Closure,MCP raw source and blob reads blocked,tasks/cdb083-bidirectional-mcp-raw-source-block,CDB071,docs/MUTATION_POLICY.md,MCP no-leak denial tests,complete
CDB084,Gap Closure,Stable anonymous and unstable syntax identity,tasks/cdb084-bidirectional-stable-anonymous-identity,CDB072,docs/CHANGE_PLAN_SCHEMA.md,repeat scan identity tests,complete
CDB085,Gap Closure,Semantic and public API hashing,tasks/cdb085-bidirectional-semantic-api-hashing,CDB084,docs/CHANGE_PLAN_SCHEMA.md,HIR/MIR semantic and rustdoc public-API equivalence fixtures,complete
CDB086,Gap Closure,Store migrations and schema evolution,tasks/cdb086-bidirectional-store-migrations,CDB072,docs/BIDIRECTIONAL_ARCHITECTURE.md,migration/refusal tests,complete
CDB087,Gap Closure,Source drift versus stored plans,tasks/cdb087-bidirectional-source-drift-conflicts,CDB073,docs/CHANGE_PLAN_SCHEMA.md,stale plan conflict tests,complete
CDB088,Gap Closure,Failed materialization and apply recovery,tasks/cdb088-bidirectional-failed-apply-recovery,CDB075,docs/ROUND_TRIP_PROOF.md,failed apply recovery tests,complete
CDB089,Gap Closure,Operator approval and manual decision provenance,tasks/cdb089-bidirectional-approval-provenance,CDB075,docs/CHANGE_PLAN_SCHEMA.md,apply gate decision provenance tests,complete
CDB090,Release Gate,Final bidirectional release gate and manifest reseal,tasks/cdb090-bidirectional-release-gate,CDB070;CDB071;CDB072;CDB073;CDB074;CDB075;CDB076;CDB077;CDB078;CDB079;CDB080;CDB081;CDB082;CDB083;CDB084;CDB085;CDB086;CDB087;CDB088;CDB089,manifests/PACKAGE_VALIDATION.json,"all mandatory capability tests, reproduction proof, and full validation",complete
