task_id,title,phase,status,depends_on,primary_outputs,validation_gate,safety_constraints,notes
CDB091,Research current polyglot parsing/indexing/tooling landscape,planning,complete,,docs/polyglot-import/research-ledger.md;execution/POLYGLOT_TASK_GRAPH.csv;execution/POLYGLOT_TASK_FILE_MAP.csv,research ledger complete and CSVs parse,no arbitrary language-to-Rust translation claims; no vendored external code as evidence,Current-state audit plus official-source research
CDB092,Design polyglot schema extension,planning,complete,CDB091,docs/polyglot-import/polyglot-schema-extension.md,planned schema does not break Rust-first tables,no source-truth promotion without proof,Links new rows to source files/blobs/parser versions/proof rows
CDB093,Implement language detection and package marker inventory,planning,complete,CDB091,docs/polyglot-import/language-import-surface.md;docs/polyglot-import/package-manager-and-lockfile-matrix.md,baseline language and package coverage documented,no package-manager dependency installation; no project script execution,Defines Tier 0 and Tier 1 detection
CDB094,Implement raw whole-repo byte/blob import fixtures,planning,complete,CDB091,docs/polyglot-import/proof-and-round-trip-gates.md;docs/polyglot-import/whole-repo-import-architecture.md,raw-byte fixture families documented,no raw credential dumps; no raw source over MCP by default,Feeds P2 P5 P6 P9
CDB095,Add Tree-sitter/ast-grep parser-backed summary prototype,planning,complete,CDB091,docs/polyglot-import/parser-and-indexer-tooling-matrix.md,parser/indexer candidates and bounded summary plan documented,no external CLI mandatory for default tests,Defines Tier 2 and optional Tier 4 boundary
CDB096,Add Python import surface fixture plan,planning,complete,CDB093,docs/polyglot-import/language-import-surface.md;docs/polyglot-import/package-manager-and-lockfile-matrix.md,Python coverage documented,no pip or uv install in default path,Includes Ruff LibCST and basedpyright lanes
CDB097,Add Ruby import surface fixture plan,planning,complete,CDB093,docs/polyglot-import/language-import-surface.md;docs/polyglot-import/package-manager-and-lockfile-matrix.md,Ruby coverage documented,no bundle install or app boot by default,Includes Prism and Bundler provenance
CDB098,Add TypeScript/JavaScript import surface fixture plan,planning,complete,CDB093,docs/polyglot-import/language-import-surface.md;docs/polyglot-import/package-manager-and-lockfile-matrix.md,JS TS coverage documented,no package-manager install or project build by default,Includes Oxc SWC Biome and TypeScript compiler API
CDB099,Add Go/Shell/Nix/config import surface fixture plan,planning,complete,CDB093,docs/polyglot-import/language-import-surface.md,Go Shell Nix config coverage documented,no shell script execution or Nix build or eval by default,Includes stretch-language notes for Java Kotlin C Cpp CSharp PHP Swift Lua
CDB100,Design single-binary Rust export crate generator,planning,complete,CDB091,docs/polyglot-import/single-binary-rust-crate-export.md,generated crate layout and contract documented,no credential embedding; no source overwrite by default,Defines artifact layout and non-default raw export policy
CDB101,Prototype generated export crate verify/list/materialize commands,planning,complete,CDB100,docs/polyglot-import/single-binary-rust-crate-export.md,command matrix documented with bounded behavior,no raw-source-over-MCP escape hatch by default,Defines verify list schema summary export materialize and license report
CDB102,Add proof gates for DB import -> crate export -> materialize round trip,planning,complete,CDB094;CDB100;CDB101,docs/polyglot-import/proof-and-round-trip-gates.md,P0-P11 documented and cross-linked,no weak or indirect evidence accepted as completion,Defines proof path from repo input to materialization proof
CDB103,Add bounded Nu/CLI/MCP polyglot views,planning,complete,CDB095,docs/polyglot-import/whole-repo-import-architecture.md;docs/polyglot-import/security-and-execution-policy.md,bounded view policy documented,no unbounded dump commands and no default mutation verbs,Feeds P10
CDB104,Add security/no-script-execution/no-credential-leak gates,planning,complete,CDB102;CDB103,docs/polyglot-import/security-and-execution-policy.md,hard boundaries documented and wired into proof plan,no policy relaxation from missing evidence,Feeds P6 P9 P10 P11
CDB105,Release/readiness gate for polyglot import V1.2 planning,planning,complete,CDB091;CDB092;CDB093;CDB094;CDB095;CDB096;CDB097;CDB098;CDB099;CDB100;CDB101;CDB102;CDB103;CDB104,execution/POLYGLOT_GITHUB_ISSUE_DRAFTS.md;NAVIGATION.md;NAVIGATION.json;DOC_GRAPH.md;HANDOFF.md;ACCEPTANCE.md;READINESS_GATE.md;STOP_CONDITIONS.md,issue drafts exist and truth surfaces updated,do not silently supersede V1.1,Final package seal and readiness framing
