fixture_id,path,purpose,expected_observations,blocked_tasks
single_simple_crate,single_simple_crate,baseline crate scan,"source files; Cargo package; Rust module/function/struct rows","CDB042;CDB043;CDB044;CDB045"
workspace_two_crates,workspace_two_crates,two-crate workspace scan,"workspace members; package ids; path dependency edge","CDB042;CDB043"
feature_cfg,feature_cfg,feature and target cfg scan,"feature rows; cfg rows; target dependency metadata","CDB042;CDB043"
macro_rules,macro_rules,macro static scan,"macro_rules definition; macro invocation; expansion capture gap","CDB042;CDB043"
proc_macro_consumer,proc_macro_consumer,proc macro safety boundary,"proc-macro package; consumer dependency; dynamic macro gap","CDB042;CDB043;CDB044"
build_script,build_script,build script safety boundary,"build.rs row; cargo directive row; unsafe execution gap","CDB042;CDB043;CDB044"
out_dir_generator,out_dir_generator,generated artifact reproduction,"OUT_DIR generator source; generated artifact when unsafe run approved","CDB043;CDB045"
include_edges,include_edges,include edge scan,"include_str edge; include_bytes edge; blob references","CDB042;CDB043"
non_rust_assets,non_rust_assets,asset envelope scan,"non-Rust assets; crate envelope blob hashes","CDB042;CDB043"
native_link,native_link,native linker boundary,"native link directive; native capture gap","CDB042;CDB043;CDB044"
secret_like,secret_like,secret policy fixture,"placeholder secret-looking strings; raw export refusal or hash-only rows","CDB043;CDB044"
clean_repo,clean_repo,clean no-mutation proof,"clean state before and after scan","CDB044"
dirty_repo,dirty_repo,dirty no-mutation proof,"pre-existing dirty state remains unchanged in temp copy","CDB044"
symlink,symlink,symlink/platform boundary,"symlink manifest row or platform limitation gap","CDB042;CDB043"
